"case_id","category","tokenization_elapsed_microseconds","tokenization_elapsed_milliseconds","input_text","sanitized_text","detected_numbers","tokens","parse_statuses","parse_reasons","numeric_values","has_numeric_input","sanitization_success","normalization_success","clarification_required","security_leak_detected","final_class","expected_class","expectation_match"
"SAN-011","long_account_number","17","0.017000","Transfer ke 1234567890123456 atas nama Doni","Transfer ke [token: dj5uvryq] atas nama Doni","1234567890123456","dj5uvryq","valid","plain_integer","1234567890123456.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-012","long_account_number","15","0.015000","Rekening tujuan saya 001122334455667788","Rekening tujuan saya [token: txz7dg7z]","001122334455667788","txz7dg7z","valid","plain_integer","1122334455667788.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-013","mixed_banking_text","20","0.020000","Tolong transfer 10000 besok jam 9 ke Doni","Tolong transfer [token: uep118rr] besok jam [token: 1t3vcuus] ke Doni","10000 | 9","uep118rr | 1t3vcuus","valid | valid","plain_integer | plain_integer","10000.0 | 9.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-014","mixed_banking_text","22","0.022000","Kirim 75000 ke BCA Doni setelah jam 10","Kirim [token: 03iby5a9] ke BCA Doni setelah jam [token: 7of9zojg]","75000 | 10","03iby5a9 | 7of9zojg","valid | valid","plain_integer | plain_integer","75000.0 | 10.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-015","hyphenated_number","15","0.015000","Nomor rekeningnya 1234-5678-9012","Nomor rekeningnya [token: nu8wgoht]","1234-5678-9012","nu8wgoht","unsupported_format","unsupported_numeric_format","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-016","slash_separated_number","12","0.012000","Catat referensi 12/34/56 untuk transfer ini","Catat referensi [token: e1hpj93h] untuk transfer ini","12/34/56","e1hpj93h","unsupported_format","unsupported_numeric_format","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-017","space_separated_number","12","0.012000","Rekening tujuan 1234 5678 9012 milik Doni","Rekening tujuan [token: hc6fyohi] milik Doni","1234 5678 9012","hc6fyohi","unsupported_format","unsupported_numeric_format","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-018","plain_integer","12","0.012000","123456 tolong kirim sekarang","[token: x5xhhjxx] tolong kirim sekarang","123456","x5xhhjxx","valid","plain_integer","123456.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-019","mixed_banking_text","24","0.024000","Biaya admin 2500 dan transfer 10000 ke Doni","Biaya admin [token: 7gysohku] dan transfer [token: 4w9cfupl] ke Doni","2500 | 10000","7gysohku | 4w9cfupl","valid | valid","plain_integer | plain_integer","2500.0 | 10000.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-020","plain_integer","12","0.012000","Transfer 0 ke Doni","Transfer [token: dj5uvryq] ke Doni","0","dj5uvryq","valid","plain_integer","0.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-021","no_number_input","1","0.001000","Saya ingin transfer ke Doni","Saya ingin transfer ke Doni","","","","","","false","true","false","false","false","No Numeric Content","No Numeric Content","true"
"SAN-022","no_number_input","1","0.001000","Tolong bantu saya cek rekening tujuan","Tolong bantu saya cek rekening tujuan","","","","","","false","true","false","false","false","No Numeric Content","No Numeric Content","true"
"SAN-023","decimal_input","16","0.016000","Transfer 0,75 ke Doni","Transfer [token: 03iby5a9] ke Doni","0,75","03iby5a9","valid","decimal_separator_supported","0.75","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-024","unsupported_numeric_format","15","0.015000","Transfer 999.999 ke Doni","Transfer [token: nu8wgoht] ke Doni","999.999","nu8wgoht","unsupported_format","thousands_separator_not_supported","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-025","plain_integer","14","0.014000","Mohon transfer 35000 ke Doni sekarang juga","Mohon transfer [token: e1hpj93h] ke Doni sekarang juga","35000","e1hpj93h","valid","plain_integer","35000.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-026","plain_integer","14","0.014000","Kirim dana 888888 ke akun Doni","Kirim dana [token: hc6fyohi] ke akun Doni","888888","hc6fyohi","valid","plain_integer","888888.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-027","plain_integer","12","0.012000","Transfer 42 ke Doni","Transfer [token: x5xhhjxx] ke Doni","42","x5xhhjxx","valid","plain_integer","42.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-028","multi_number_input","32","0.032000","Transfer 120000 ke 111222333444 milik Doni jam 14","Transfer [token: 7gysohku] ke [token: 4w9cfupl] milik Doni jam [token: mltmlv3n]","120000 | 111222333444 | 14","7gysohku | 4w9cfupl | mltmlv3n","valid | valid | valid","plain_integer | plain_integer | plain_integer","120000.0 | 111222333444.0 | 14.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-029","multi_number_input","31","0.031000","Kirim 5000 ke rekening 777888999 atas nama Doni tanggal 30","Kirim [token: aolo1gou] ke rekening [token: wkk46cte] atas nama Doni tanggal [token: da3s3zu4]","5000 | 777888999 | 30","aolo1gou | wkk46cte | da3s3zu4","valid | valid | valid","plain_integer | plain_integer | plain_integer","5000.0 | 777888999.0 | 30.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-030","multi_number_input","31","0.031000","Top up 25000 ke 123123123 lalu catat referensi 88","Top up [token: txz7dg7z] ke [token: cg42olok] lalu catat referensi [token: 19i0u92p]","25000 | 123123123 | 88","txz7dg7z | cg42olok | 19i0u92p","valid | valid | valid","plain_integer | plain_integer | plain_integer","25000.0 | 123123123.0 | 88.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-031","decimal_input","16","0.016000","Transfer 100,25 ke Doni","Transfer [token: uep118rr] ke Doni","100,25","uep118rr","valid","decimal_separator_supported","100.25","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-032","decimal_input","14","0.014000","Kirim 3.1415 ke rekening Doni","Kirim [token: 03iby5a9] ke rekening Doni","3.1415","03iby5a9","valid","decimal_separator_supported","3.1415","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-033","decimal_input","14","0.014000","Transfer 0.5 juta ke Doni","Transfer [token: nu8wgoht] juta ke Doni","0.5","nu8wgoht","valid","decimal_separator_supported","0.5","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-034","decimal_input","15","0.015000","Transfer 1,25 juta ke Doni","Transfer [token: e1hpj93h] juta ke Doni","1,25","e1hpj93h","valid","decimal_separator_supported","1.25","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-035","unsupported_numeric_format","15","0.015000","Transfer 12.345 ke Doni","Transfer [token: hc6fyohi] ke Doni","12.345","hc6fyohi","unsupported_format","thousands_separator_not_supported","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-036","unsupported_numeric_format","14","0.014000","Transfer 8,765 ke Doni","Transfer [token: x5xhhjxx] ke Doni","8,765","x5xhhjxx","unsupported_format","thousands_separator_not_supported","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-037","unsupported_numeric_format","16","0.016000","Nominalnya 123.456 lalu transfer ke Doni","Nominalnya [token: 7gysohku] lalu transfer ke Doni","123.456","7gysohku","unsupported_format","thousands_separator_not_supported","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-038","multiple_separators","12","0.012000","Transfer 12.345,67 ke Doni","Transfer [token: aolo1gou] ke Doni","12.345,67","aolo1gou","unsupported_format","multiple_separators_not_supported","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-039","multiple_separators","12","0.012000","Transfer 9,876.54 ke Doni","Transfer [token: r8q2w2ww] ke Doni","9,876.54","r8q2w2ww","unsupported_format","multiple_separators_not_supported","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-040","multiple_separators","12","0.012000","Rekening 1.234.567 tidak boleh dipakai","Rekening [token: uep118rr] tidak boleh dipakai","1.234.567","uep118rr","unsupported_format","multiple_separators_not_supported","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-041","long_account_number","607","0.607000","Nomor tujuan 98765432109876543210 atas nama Doni","Nomor tujuan [token: 03iby5a9] atas nama Doni","98765432109876543210","03iby5a9","valid","plain_integer","98765432109876540000.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-042","long_account_number","25","0.025000","Simpan rekening 55554444333322221111 untuk transfer berikutnya","Simpan rekening [token: nu8wgoht] untuk transfer berikutnya","55554444333322221111","nu8wgoht","valid","plain_integer","55554444333322220000.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-043","mixed_banking_text","24","0.024000","Besok jam 8 tolong transfer 20000 ke Doni","Besok jam [token: e1hpj93h] tolong transfer [token: kdl8m75m] ke Doni","8 | 20000","e1hpj93h | kdl8m75m","valid | valid","plain_integer | plain_integer","8.0 | 20000.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-044","mixed_banking_text","22","0.022000","Pindahkan 150000 ke BNI Doni sebelum 17","Pindahkan [token: hc6fyohi] ke BNI Doni sebelum [token: 26b38gn4]","150000 | 17","hc6fyohi | 26b38gn4","valid | valid","plain_integer | plain_integer","150000.0 | 17.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-045","mixed_banking_text","21","0.021000","Transfer 7000 ke Doni dan sisakan saldo 3000","Transfer [token: x5xhhjxx] ke Doni dan sisakan saldo [token: xusjm32v]","7000 | 3000","x5xhhjxx | xusjm32v","valid | valid","plain_integer | plain_integer","7000.0 | 3000.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-046","mixed_banking_text","22","0.022000","Tolong kirim 25000 ke Doni, kode OTP saya 123456","Tolong kirim [token: 7gysohku] ke Doni, kode OTP saya [token: 4w9cfupl]","25000 | 123456","7gysohku | 4w9cfupl","valid | valid","plain_integer | plain_integer","25000.0 | 123456.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-047","hyphenated_number","13","0.013000","Gunakan kode 2026-03-30 untuk referensi transfer","Gunakan kode [token: aolo1gou] untuk referensi transfer","2026-03-30","aolo1gou","unsupported_format","unsupported_numeric_format","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-048","hyphenated_number","12","0.012000","Rekening 0001-0002-0003 milik Doni","Rekening [token: r8q2w2ww] milik Doni","0001-0002-0003","r8q2w2ww","unsupported_format","unsupported_numeric_format","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-049","slash_separated_number","12","0.012000","Ref transaksi 01/02/03 untuk transfer Doni","Ref transaksi [token: bz4135pm] untuk transfer Doni","01/02/03","bz4135pm","unsupported_format","unsupported_numeric_format","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-050","slash_separated_number","20","0.020000","Tanggal 30/03/2026 transfer ke Doni sebesar 10000","Tanggal [token: 03iby5a9] transfer ke Doni sebesar [token: 7of9zojg]","30/03/2026 | 10000","03iby5a9 | 7of9zojg","unsupported_format | valid","unsupported_numeric_format | plain_integer","null | 10000.0","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-051","space_separated_number","12","0.012000","Nomor virtual account 1234 5678 9999 untuk Doni","Nomor virtual account [token: nu8wgoht] untuk Doni","1234 5678 9999","nu8wgoht","unsupported_format","unsupported_numeric_format","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-052","space_separated_number","11","0.011000","Masukkan kode 12 34 56 sebelum transfer","Masukkan kode [token: e1hpj93h] sebelum transfer","12 34 56","e1hpj93h","unsupported_format","unsupported_numeric_format","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-053","no_number_input","1","0.001000","Saya ingin mengubah tujuan transfer ke Doni","Saya ingin mengubah tujuan transfer ke Doni","","","","","","false","true","false","false","false","No Numeric Content","No Numeric Content","true"
"SAN-054","no_number_input","0","0.000000","Apakah saved account Doni tersedia?","Apakah saved account Doni tersedia?","","","","","","false","true","false","false","false","No Numeric Content","No Numeric Content","true"
"SAN-055","no_number_input","0","0.000000","Mohon bantu saya menyiapkan transfer","Mohon bantu saya menyiapkan transfer","","","","","","false","true","false","false","false","No Numeric Content","No Numeric Content","true"
"SAN-056","plain_integer","13","0.013000","Transfer 999999999 ke Doni","Transfer [token: aolo1gou] ke Doni","999999999","aolo1gou","valid","plain_integer","999999999.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-057","decimal_input","17","0.017000","Kirim 2,75 juta untuk Doni","Kirim [token: r8q2w2ww] juta untuk Doni","2,75","r8q2w2ww","valid","decimal_separator_supported","2.75","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-058","mixed_banking_text","21","0.021000","Transfer 12000 ke Doni, lalu catat nomor antrean 77","Transfer [token: bz4135pm] ke Doni, lalu catat nomor antrean [token: gypfmiui]","12000 | 77","bz4135pm | gypfmiui","valid | valid","plain_integer | plain_integer","12000.0 | 77.0","true","true","true","false","false","Fully Successful","Fully Successful","true"
"SAN-059","multiple_separators","12","0.012000","Nominal 123,456.789 jelas harus ditolak","Nominal [token: ll2pl5ii] jelas harus ditolak","123,456.789","ll2pl5ii","unsupported_format","multiple_separators_not_supported","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
"SAN-060","unsupported_numeric_format","15","0.015000","Mohon transfer 111.222 ke Doni","Mohon transfer [token: nu8wgoht] ke Doni","111.222","nu8wgoht","unsupported_format","thousands_separator_not_supported","null","true","true","false","true","false","Safely Rejected","Safely Rejected","true"
