id,category,style,expected_action,actual_action,expected_name,actual_name,expected_address,actual_address,passed,parse_error
CAT6_NOISY_3,short_reply_electric_name,noisy,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 608],[token-ent: 608],,,true,
CAT6_NOISY_4,short_reply_electric_name,noisy,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 609],[token-ent: 609],,,true,
CAT6_NOISY_5,short_reply_electric_name,noisy,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 610],[token-ent: 610],,,true,
CAT7_FORMAL_1,short_reply_electric_address,formal,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 701],[token-ent: 701],true,
CAT7_FORMAL_2,short_reply_electric_address,formal,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 702],[token-ent: 702],true,
CAT7_FORMAL_3,short_reply_electric_address,formal,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 703],[token-ent: 703],true,
CAT7_FORMAL_4,short_reply_electric_address,formal,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 704],[token-ent: 704],true,
CAT7_FORMAL_5,short_reply_electric_address,formal,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 705],[token-ent: 705],true,
CAT7_NOISY_1,short_reply_electric_address,noisy,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 706],[token-ent: 706],true,
CAT7_NOISY_2,short_reply_electric_address,noisy,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 707],[token-ent: 707],true,
CAT7_NOISY_3,short_reply_electric_address,noisy,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 708],[token-ent: 708],true,
CAT7_NOISY_4,short_reply_electric_address,noisy,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 709],[token-ent: 709],true,
CAT7_NOISY_5,short_reply_electric_address,noisy,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 710],[token-ent: 710],true,
CAT8_FORMAL_1_AMBIGUOUS,short_reply_electric_ambiguous_1ent,formal,needs_confirmation,needs_confirmation,,,,,true,
CAT8_FORMAL_2_AMBIGUOUS,short_reply_electric_ambiguous_1ent,formal,needs_confirmation,needs_confirmation,,,,,true,
CAT8_FORMAL_3_AMBIGUOUS,short_reply_electric_ambiguous_1ent,formal,needs_confirmation,needs_confirmation,,,,,true,
CAT8_FORMAL_4_CLEAR_NAME,short_reply_electric_ambiguous_1ent,formal,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 804],[token-ent: 804],,,true,
CAT8_FORMAL_5_CLEAR_ADDR,short_reply_electric_ambiguous_1ent,formal,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 805],[token-ent: 805],true,
CAT8_NOISY_1_AMBIGUOUS,short_reply_electric_ambiguous_1ent,noisy,needs_confirmation,needs_confirmation,,,,,true,
CAT8_NOISY_2_AMBIGUOUS,short_reply_electric_ambiguous_1ent,noisy,needs_confirmation,needs_confirmation,,,,,true,
CAT8_NOISY_3_AMBIGUOUS,short_reply_electric_ambiguous_1ent,noisy,needs_confirmation,needs_confirmation,,,,,true,
CAT8_NOISY_4_CLEAR_NAME,short_reply_electric_ambiguous_1ent,noisy,search_cust_id_by_name,search_cust_id_by_name,[token-ent: 809],[token-ent: 809],,,true,
CAT8_NOISY_5_CLEAR_ADDR,short_reply_electric_ambiguous_1ent,noisy,search_cust_id_by_address,search_cust_id_by_address,,,[token-ent: 810],[token-ent: 810],true,
CAT9_FORMAL_1_AMBIGUOUS,short_reply_electric_ambiguous_2ent,formal,needs_confirmation,needs_confirmation,,,,,true,
CAT9_FORMAL_2_AMBIGUOUS,short_reply_electric_ambiguous_2ent,formal,needs_confirmation,needs_confirmation,,,,,true,
CAT9_FORMAL_3_AMBIGUOUS,short_reply_electric_ambiguous_2ent,formal,needs_confirmation,needs_confirmation,,,,,true,
CAT9_FORMAL_4_CLEAR,short_reply_electric_ambiguous_2ent,formal,search_cust_id_by_name_and_address,search_cust_id_by_name_and_address,[token-ent: 907],[token-ent: 907],[token-ent: 908],[token-ent: 908],true,
CAT9_FORMAL_5_CLEAR,short_reply_electric_ambiguous_2ent,formal,search_cust_id_by_name_and_address,search_cust_id_by_name_and_address,[token-ent: 909],[token-ent: 909],[token-ent: 910],[token-ent: 910],true,
CAT9_NOISY_1_AMBIGUOUS,short_reply_electric_ambiguous_2ent,noisy,needs_confirmation,needs_confirmation,,,,,true,
CAT9_NOISY_2_AMBIGUOUS,short_reply_electric_ambiguous_2ent,noisy,needs_confirmation,needs_confirmation,,,,,true,
CAT9_NOISY_3_AMBIGUOUS,short_reply_electric_ambiguous_2ent,noisy,needs_confirmation,needs_confirmation,,,,,true,
CAT9_NOISY_4_CLEAR,short_reply_electric_ambiguous_2ent,noisy,search_cust_id_by_name_and_address,search_cust_id_by_name_and_address,[token-ent: 917],[token-ent: 917],[token-ent: 918],[token-ent: 918],true,
CAT9_NOISY_5_CLEAR,short_reply_electric_ambiguous_2ent,noisy,search_cust_id_by_name_and_address,search_cust_id_by_name_and_address,[token-ent: 919],[token-ent: 919],[token-ent: 920],[token-ent: 920],true,
